title,slug,description,rooms,beds,toilets,mq,image,lat,lon,address,visible
Castello del Conte Dracula,castello del conte dracula,"Benvenuti nel Castello del Conte Dracula, un'opportunità unica per immergersi nell'atmosfera gotica e misteriosa della Transilvania. Con le sue torri imponenti e i dettagli macabri, questo castello offre un'esperienza indimenticabile. Prenotate ora per vivere un'avventura tenebrosa che vi porterà indietro nel tempo.",15,10,4,1000,"img/castello_dracula.jpg",45.057894,7.681802,25 Via Principe Tommaso TORINO,1
Castello della Rotta,castello della rotta,"Benvenuti al Castello della Rotta. Nelle colline umbre sorge il suggestivo Castello della Rotta, un'antica fortezza medievale che offre un soggiorno incantevole. Con le sue mura secolari, le camere accoglienti e la vista mozzafiato, questo castello è il luogo ideale per una fuga romantica o un evento speciale. Prenotate ora e lasciatevi trasportare in un viaggio nel tempo tra storia e bellezza.",25,2,7,1500,"img/castello_rotta.jpg",45.061113,7.688141,44 Via Giuseppe Mazzini TORINO,1
Castello Frankestein,castello frankestein,"Situato tra le verdi valli il Castello Frankenstein incarna il fascino gotico e l'intrigo. Con le sue torri imponenti e i corridoi misteriosi, questo castello offre un'esperienza indimenticabile tra storia e leggenda. Prenotate ora e immergetevi nell'atmosfera unica di questo luogo incantato.",12,6,4,800,"img/castello_frankenstein.avif",45.072664,7.680301,21 Via Giuseppe Garibaldi TORINO,1
Casa della Famiglia Addams,casa della famiglia addams,"Situata nell'elegante quartiere di Torino, la Casa della Famiglia Addams è un'opera architettonica unica nel suo genere. Ispirata al mistero e all'eccentricità della famosa famiglia, questa residenza incantevole offre un'esperienza insolita e indimenticabile. Con le sue facciate scure e le torri gotiche, la casa è un'attrazione che cattura l'immaginazione di coloro che osano avvicinarsi. Prenotate ora e preparatevi ad un viaggio nel mondo macabro e affascinante della Famiglia Addams. CHIUSO IL MERCOLEDI!",10,5,3,300,"img/addams_family.png",45.072107,7.679895,26 Via Giuseppe Barbaroux TORINO,1
Grotta dei Sussurri,grotta della sussurri,"Nascosta tra le maestose montagne delle Alpi, la Grotta dei Sussurri incute un senso di mistero e avventura. Conosciuta per le sue pareti rocciose scure e gli anfratti oscuri, questa grotta evoca emozioni di fascino e inquietudine. Esplorate i suoi meandri sotterranei e lasciatevi trasportare in un viaggio emozionante attraverso la sua storia millenaria. Prenotate ora per un'esperienza indimenticabile nel cuore della natura selvaggia delle Alpi torinesi.",1,8,3,250,"img/grotta_sussurri.webp",45.064513,7.683709,Via Camillo Benso Conte di Cavour TORINO,1
Alloggio degli Spiriti,alloggio degli spiriti,"Immergetevi in un'atmosfera surreale all'Alloggio degli Spiriti, dove ogni angolo racconta una storia di presenze misteriose e avvenimenti inspiegabili. Questo alloggio offre un'esperienza unica, avvolta da un'aura di mistero che affascina e inquieta. Prenotate ora e lasciatevi trasportare in un mondo oltre il reale.",5,2,2,250,"img/alloggio-degi-spiriti.jpg",45.005880,7.531531,Via A. Cruto 8 10043 Orbassano TO,1
Bunker Atomico,bunker atomic,"Scendete nel Bunker Atomico, un rifugio sicuro e affascinante che vi trasporterà nell'era della Guerra Fredda. Con le sue pareti robuste e le storie di sopravvivenza, questo luogo offre un'esperienza unica di immersione storica. Prenotate ora per esplorare un pezzo di storia nascosto sotto terra.",20,1,2,250,"img/bunker-atomico.jpg",44.931498,7.612251,Via Roma 20 10040 Piobesi Torinese TO,1
Casa sull'albero dei Folletti,casa sull'albero dei folletti,"Abbracciate la magia della natura nella Casa sull'albero dei Folletti. Circondata da una foresta incantata, questa casa sospesa tra i rami offre un rifugio perfetto per chi cerca tranquillità e avventura. Prenotate ora e scoprite un mondo di fiaba nascosto tra le foglie.",2,9,4,250,"img/casa-albero-folletti.jpg",44.997721,7.711234,Str. Revigliasco 86 10024 Moncalieri TO,1
Casa dello Squartatore,casa dello squartatore,"Entrate nella Casa dello Squartatore, un luogo che evoca mistero e leggenda. Conosciuta per i suoi angoli bui e l'atmosfera inquietante, questa casa offre un'esperienza unica per gli amanti del brivido. Prenotate ora per vivere un'avventura che vi terrà con il fiato sospeso.",8,10,5,250,"img/casa-dello-squartatore.jpg",45.013167,7.790649,Strada Pecetto 34H 10023 Chieri TO,1
Residenza Infestatissima,residenza infestatissima,"La Residenza Infestatissima è un luogo avvolto da storie di apparizioni e eventi inspiegabili. Ogni stanza racconta una leggenda e ogni notte promette avventure misteriose. Prenotate ora per un soggiorno indimenticabile in una casa dove il passato e il presente si incontrano in modo inquietante.",7,6,3,250,"img/casa-molto-infestata.jpg",45.049076,7.804098,Via Tepice 134 10025 Pino Torinese TO,1
